museum,title,raw_text,year,period,url,text_to_analyze,category
Pushkin Museum,Выбор Марины Бессоновой,Выбор Марины Бессоновой 23 сентября 2025 – 01 февраля 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/marina_bessonova/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку, посвященную памяти Марины Александровны Бессоновой — легендарного искусствоведа, хранителя французской живописи XIX–XX веков и инициатора создания в Пушкинском музее фонда «Объекты и инсталляции», в который вошли произведения экспериментального искусства. Она была не просто талантливым исследователем, но и человеком, чья страсть к искусству вдохновляла многих. Область ее научных интересов охватывала широкий спектр — от классического европейского искусства до современных художественных тенденций. Выставка дает представление о разных, порой неожиданных, составляющих собрания музея через призму биографии хранителя. Подробнее Марина Бессонова внесла значительный вклад в развитие Пушкинского музея. Она многие годы являлась хранителем коллекции французской живописи XIX–XX веков, и ее имя хорошо известно в мировом искусствоведческом",западное искусство
Pushkin Museum,"Рисунок Гверчино «Иаков, благословляющий сыновей Иосифа»","Рисунок Гверчино «Иаков, благословляющий сыновей Иосифа» 16 сентября – 19 октября 2025",2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/guercino_jacob/index.php?lang=ru,"Государственный музей изобразительный искусств имени А.С. Пушкина представил рисунок «Иаков, благословляющий сыновей Иосифа» — шедевр графического искусства мастера болонской школы XVII века Джованни Франческо Барбьери по прозвищу Гверчино. Обновленная экспозиция на Белом полу знакомит с особенностями его графического наследия. Картина Гверчино «Мадонна с Младенцем» вошла в постоянную экспозицию Пушкинского музея после показа в рамках проекта «Новые шедевры Пушкинского». Гверчино сформулировал новый принцип итальянского рисунка XVII века: важнейшим изобразительным и выразительным средством наряду с линией становится пятно. Художественное новаторство болонского мастера в полной мере отражено в рисунке, представленном на выставке в Пушкинском музее. Ранее считавшийся работой Доменикино, этот лист был определен специалистами как подготовительный рисунок Гверчино к картине «Иаков, благословляющий сыновей Иосифа» из собрания английского исследоват",национальное российское искусство
Pushkin Museum,Курс на Север,Курс на Север 28 августа – 19 октября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/north/index.php?lang=ru,"Государственный музей изобразительных искусств имени А. С. Пушкина представляет выставку «Курс на Север», посвященную художественному осмыслению образа Крайнего Севера. Новый проект рассказывает о том, как на протяжении столетий человек прокладывал путь в terra incognita и как суровые земли формировали его мировоззрение. В экспозиции представлено несколько больших разделов, позволяющих пройти дистанцию длиной в почти четыре века: от гравюр путешественников XVIII столетия до работ современных российских художников — путь обретения края земли и его художественного образа. Выставка «Курс на Север» исследует геополитический и исторический контексты освоения северных земель как культурный феномен и представляет собой визуальное странствование, погружая зрителя в мир полярных пейзажей, героических строек и романтики первопроходцев. Экспозиция раскрывает сложный многогранный образ Крайнего Севера, где первозданная",национальное российское искусство
Pushkin Museum,Новые шедевры Пушкинского. Выставка одного произведения,Новые шедевры Пушкинского. Выставка одного произведения 08 июля – 14 сентября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/new_masterpieces/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет пятую и заключительную часть проекта «Новые шедевры Пушкинского». Картина «Мадонна с Младенцем» Джованни Франческо Барбьери, прозванного Гверчино, на протяжении долгого времени считалась утраченной. Впервые за почти сто лет произведение возвращается в музейное пространство в рамках проекта в Пушкинском музее. Ольга Галактионова, директор Государственного музея изобразительных искусств имени А.С. Пушкина: «Картина “Мадонна с Младенцем” является одним из последних приобретений музея. И мы с особой гордостью представим публике шедевр, история которого достойна большой экранизации. Ближайшие две недели картина будет выставляться в проекте “Новые шедевры Пушкинского”, а затем займет свое место в постоянной экспозиции. Работой Гверчино мы заканчиваем выставочный цикл одного произведения. Но в будущем планируем его повторить и показать еще серию новых п",западное искусство
Pushkin Museum,Не только Брейгель. Нидерландская гравюра XVI века из собраний Москвы и Санкт-Петербурга,Не только Брейгель. Нидерландская гравюра XVI века из собраний Москвы и Санкт-Петербурга 01 июля – 09 ноября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/notonlybreugel/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку, посвященную первому крупному гравюрному издательству в Европе «На четырех ветрах», которое основал художник и гравер Иероним Кок. В экспозиции будут показаны гравюры, созданные по рисункам выдающихся европейских художников, в том числе Рафаэля, Бронзино и Питера Брейгеля Старшего. Тематическое разнообразие гравюр, выпущенных в издательстве Кока, отображало мир европейца XVI века и выполняло функцию современной фотографии. Выставка расскажет о том, как силами одного гравюрного издательства преобразился художественный мир. Подробнее о выставке В центре внимания выставки — издательский дом «На четырех ветрах» (1550–1570) и его создатель Иероним Кок, художник и гравер. С некогда маленького издательства начался расцвет Антверпена как мирового центра печатной графики: за 20 лет Иероним Кок организовал самое крупное в Европе изда",западное искусство
Pushkin Museum,Подвиг музея. к 80-летию Победы в Великой Отечественной войне,Подвиг музея. к 80-летию Победы в Великой Отечественной войне 24 апреля – 07 сентября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/museum_act_of_bravery/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставочный проект, организованный совместно с Государственным Русским музеем. Выставка «Подвиг музея» к 80-летию Победы в Великой Отечественной войне посвящена всем, кто сегодня защищает культуру, а также героизму Аллы Андреевой, сотрудника Краеведческого музея в Судже. Проект рассказывает о жизни ГМИИ им. А.С. Пушкина в 1941–1945 годах и о хранительском подвиге его сотрудников. В экспозиции представлены слепки, живопись, графика, архивные документы. Впервые будут показаны 55 уникальных авторских снимков известного фотографа Николая Свищова-Паолы. Работы этого художника являются не просто фотолетописью, но и произведениями искусства, которые редко доступны широкой публике. Подробнее о выставке В годы войны на долю музеев выпало немало испытаний: срочная эвакуация ко",национальное российское искусство
Pushkin Museum,Французский рисунок. первой половины — середины XIX века из собрания ГМИИ им. А.С. Пушкина,Французский рисунок. первой половины — середины XIX века из собрания ГМИИ им. А.С. Пушкина 08 апреля – 10 августа 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/french_drawing/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «Французский рисунок первой половины — середины XIX века из собрания ГМИИ им. А.С. Пушкина». Это первый за столетие столь репрезентативный показ музейной коллекции французского рисунка первой половины — середины XIX столетия — времени, когда Франция переживала бурные изменения, связанные с революциями, становлением Империи и романтическим движением. Вдохновленные переменами в стране и мире, путешествиями или повседневной жизнью, художники изображали окружавший их мир во всем его многообразии. Выставка приурочена к изданию научного каталога собрания французского рисунка первой половины — середины XIX века в ГМИИ им. А.С. Пушкина. Подробнее о выставке Коллекция французского рисунка в ГМИИ им. А.С. Пушкина, насчитывающая более 2000 листов,",западное искусство
Pushkin Museum,Сокровищница графики. Гравюрный кабинет в первой четверти XX века,Сокровищница графики. Гравюрный кабинет в первой четверти XX века 18 марта – 15 июня 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/graphics/index.php?lang=ru,"ГМИИ им. А.С. Пушкина запускает серию выставок под названием «Ars Graphica» и представляет первый проект «Сокровищница графики. Гравюрный кабинет в первой четверти XX века». Выставка подготовлена совместно с Российской государственной библиотекой и посвящена музейной деятельности выдающегося русского ученого и педагога Николая Ильича Романова. В экспозицию вошло более восьмидесяти произведений западноевропейских и русских мастеров эстампа, в том числе графические работы Дюрера, Рембрандта, Хогарта и Домье. Некоторые из них не экспонировались почти сто лет. Также на выставке представлены каталоги первых московских выставок графики, письма художников и искусствоведов. Стартовый проект выставочного цикла «Ars Graphica» отражает важные страницы истории Гравюрного кабинета Румянцевского музея — главного графического собрания Москвы. Подробнее о выставке С 1910 по 1924 год Николай Ильич Роман",западное искусство
Pushkin Museum,К 100-летию Картинной галереи ГМИИ им. А.С. Пушкина,К 100-летию Картинной галереи ГМИИ им. А.С. Пушкина 11 марта – 06 июля 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/gallery100/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина открывает выставку, посвященную 100-летнему юбилею Картинной галереи, которая сегодня насчитывает свыше трех тысяч произведений от Средних веков до наших дней. Проект расскажет о важном этапе истории ГМИИ им. А.С. Пушкина, когда к египетской коллекции и собранию слепков добавились живописные произведения Рембрандта, Франса Снейдерса, Гверчино, Никола Пуссена и других признанных мастеров. Развернутая на Белом полу небольшая экспозиция, снабженная пояснительным текстом, документами и фотографиями, повествует о начальном периоде формирования Картинной галереи и основных этапах ее истории. Выставкой же, по существу, служит вся Картинная галерея музея, отмечающая свой 100-летний юбилей. Подробнее о выставке История Картинной галереи Пушкинского музея берет начало в 1924 году и делится на несколько этапов. К тому времени музей обладал собранием слепков, произведениями",восточное искусство
Pushkin Museum,Возвращение воина. Уникальная италийская фреска IV века до н.э. из собрания Воронежского областного художественного музея имени И.Н Крамского,Возвращение воина. Уникальная италийская фреска IV века до н.э. из собрания Воронежского областного художественного музея имени И.Н Крамского 04 февраля – 30 марта 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/return_of_a_warrior/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «Возвращение воина. Уникальная италийская фреска IV века до н. э. из собрания Воронежского областного художественного музея имени И.Н. Крамского». Фрагмент фресковой росписи впервые будет продемонстрирован широкой публике. Зрители узнают о пути ценного экспоната — от созданной в античную эпоху гробницы-цисты на юге Италии до реставрационной мастерской Всероссийского художественного научно-реставрационного центра имени академика И.Э. Грабаря. Подробнее о выставке Илья Доронченков , заместитель директора ГМИИ им. А.С. Пушкина по научной работе, искусствовед: У нас в музее важное событие. Мы празднуем окончание реставрации уникального памятника, равных которому нет в России и очень мало за ее пределами, включая Италию, откуда фреска и происходит. Она была отреставрирована после долги",национальное российское искусство
Pushkin Museum,Неизвестный Щукин. Не только новое искусство,Неизвестный Щукин. Не только новое искусство 26 ноября 2024 – 16 марта 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2024/exhibitions/shchukin/index.php?lang=ru,"Сергей Иванович Щукин известен на весь мир собранием нового искусства — импрессионистов, Гогена, Сезанна, Матисса, Пикассо, Дерена. Однако недавно проведенные Государственным музеем изобразительных искусств имени А.С. Пушкина исследования установили, что дом мецената также наполняли произведения старых мастеров, памятники Древнего Египта, цивилизаций Востока, предметы из фарфора, древние русские иконы. Проект «Неизвестный Щукин. Не только новое искусство» представляет Сергея Ивановича в совершенно ином свете, а также рассказывает о забытых частях разнопланового собрания коллекционера и его семьи. Масштабное архивное исследование позволило реконструировать наследие во всей полноте. Проект выстроен как путешествие по цивилизациям и странам, где каждый экспонат, в начале ХХ века находившийся в доме Сергея Ивановича, напоминает об интересах семьи Щукиных: это Древний Египет,",восточное искусство
Pushkin Museum,Вокруг Кармен,Вокруг Кармен 21 ноября 2024 – 22 февраля 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2024/exhibitions/carmen/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет новый выставочный проект «Вокруг Кармен» в Мемориальной квартире Святослава Рихтера. В экспозиции будут показаны «портреты» известной цыганки: воспетая в стихах, музыке, изобразительном искусстве, она — героиня театральных постановок в самых разных жанрах: драме, опере, балете, пародии, а также персонаж кино. Подробнее о выставке Образ цыганки Кармен, издавна существовавший в испанском фольклоре, был изображен Проспером Мериме в его знаменитой новелле в 1845 году и почти сразу стал одним из самых узнаваемых архетипов в искусстве. Многие поэты, художники, композиторы XIX–XX веков вслед за Мериме создавали свою Кармен, наделяя ее разными портретными чертами, но главное в ней оставалось всегда — это вольная, загадочная, страстная «хитрая бестия», женщина-ребенок, для которой свобода дороже жизни, а любовь и смерть неразрывны. Самая яркая классическая интерпретация образа роковой пленительной красавицы — гениальная",восточное искусство
