museum,title,date_range,year,period,url,text_to_analyze,category
Tretyakov Gallery,Май Митурич. К мысу радости,30 мая 2025 — 12 октября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/may-miturich-k-mysu-radosti/,"The State Tretyakov Gallery presents an exhibition ""May Mituritch. To the Point of Joy"" dedicated to the 100th anniversary of May Petrovich Miturich (1925-2008), a renowned graphic artist and illustrator. The exhibition features a selection of Miturich's works, including his famous illustrations for children's books by Korolev Chukovsky, Samuel Marshak, Rudyard Kipling, and others, as well as rare archival materials.",восточное искусство
Tretyakov Gallery,Борис Кустодиев,30 апреля 2025 — 28 сентября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/boris-kustodiev/,"В выставке представлены монографические работы Бориса Михайловича Кустодиева, одного из крупнейших русских живописцев первой четверти XX века, объединенных в тематические блоки: ""Семья"", ""Страна Кустодия"", ""Театр"".",национальное российское искусство
Tretyakov Gallery,Коллекционер Иван Морозов: от Ван Гога до авангарда,30 апреля 2025 — 28 сентября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/kollektsioner-ivan-morozov-ot-van-goga-do-avangarda/,"The exhibition presents the collection of European and Russian art by Ivan Abramovich Morozov (1871-1921) in dialogue with works by French impressionists and symbolists, as well as Russian avant-garde artists, showcasing the intersection of artistic styles and movements between France and Russia in the early 20th century.",национальное российское искусство
Tretyakov Gallery,Путь на Восток. Русские художники в Центральной Азии,17 апреля 2025 — 28 сентября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/put-na-vostok-russkie-khudozhniki-v-tsentralnoy-azii/,"Суть выставки: ""Путь на Восток"" - это проект Государственной Третьяковской галереи, посвященный массовому паломничеству русских художников в Туркестан в начале XX века, которое стало важной тенденцией в российской культуре.",восточное искусство
Tretyakov Gallery,Александр Бурганов. Мифология реальности,6 мая 2025 — 7 сентября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-burganov-mifologiya-realnosti/,"The exhibition presents the creative work of Russian sculptor Alexander Nikolaevich Burganov, showcasing his individual style developed in the 1970s, and explores his artistic views on human nature, emotions, and interactions with the environment. The display includes works from Burganov's studio, Moscow State Museum ""Dom Burganova"", and the Tretyakov Gallery, offering insight into his unique metaphorical artistic perception.",национальное российское искусство
Tretyakov Gallery,Валерий Юрлов. Опыты умозрения,5 марта 2025 — 17 августа 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/valeriy-yurlov-opyty-umozreniya/,"Валерий Юрлов - художник-философ, представивший выставку в Государственной Третьяковской галерее, демонстрирующую многогранность его метода и цельность художественного мышления, объединяющую более 150 работ из собрания галереи, автора и частных коллекций.",национальное российское искусство
Tretyakov Gallery,По законам классики. Рисунки Ф.А. Бруни,19 апреля 2025 — 10 августа 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/fedor-bruni-po-zakonam-klassiki/,"The exhibition presents a expanded exposition of Fedele-Diavanni Brun's works, including the central piece ""Medny Zmey"" from the Russian Museum, allowing visitors to explore one of the most significant works in Russian historical painting.",восточное искусство
Tretyakov Gallery,Третьяковка на ВДНХ,21 ноября 2024 — 16 июля 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/tretyakovka-na-vdnkh/,"Суть выставки: Коллекция искусства XX-XXI веков из Государственной Третьяковской галереи, представленная в контексте парадной архитектуры 1950-х годов, и посвященная истории павильона ВДНХ.",национальное российское искусство
Tretyakov Gallery,Виктор Васнецов. Начало. Рисунки из собрания Государственной Третьяковской галереи,4 декабря 2024 — 6 июля 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/viktor-vasnetsov-nachalo-risunki-iz-sobraniya-gosudarstvennoy-tretyakovskoy-galerei/,"Суть выставки: выставляется ранее неизвестная часть наследия Виктора Васнецова, включая ранние рисунки и акварели, представляющие типы и образы духовенства, чиновники, купцы, крестьяне и другие.",национальное российское искусство
Tretyakov Gallery,Человек и нейросети: кто кого создаёт?,23 апреля 2025 — 25 мая 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/chelovek-i-neyroseti-kto-kogo-sozdayet/,"Суть выставки: ""Человек и нейросети: кто кого создает?"" - это совместный проект Третьяковской галереи и Яндекса, в котором 11 художников исследовали границы между человеческим сознанием и машинными алгоритмами, создавая новые формы искусства на стыке технологий и творчества.",восточное искусство
Tretyakov Gallery,Магия акварели. Из фондов графики XVIII – начала XX века,29 ноября 2024 — 18 мая 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/magiya-akvareli-iz-fondov-grafiki-xviii-nachala-xx-veka/,"The State Tretyakov Gallery presents an exhibition of masterpieces of 18th-20th century aquatint art from the museum's collection, showcasing over 250 works that demonstrate the development and diverse applications of this technique in Russia.",национальное российское искусство
Tretyakov Gallery,Виктор Попков,4 декабря 2024 — 11 мая 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/viktor-popkov/,"Виктор Попков - один из ведущих мастеров отечественного искусства второй половины ХХ века, представляющий монографическую выставку с более чем 200 работами на Кадашёвской набережной в Третьяковской галерее.",национальное российское искусство
Tretyakov Gallery,Франциско Инфанте. Метафоры бесконечности,21 января 2025 — 13 апреля 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/frantsisko-infante-metafory-beskonechnosti/,"The State Tretyakov Gallery presents the first major retrospective exhibition of Francisco Infante-Arana, a renowned Russian artist, featuring over 400 works from his collection and private collections, showcasing his creative path spanning over 60 years. The exhibition explores the theme of ""metaforic infinity"" through various artistic mediums, including kinetic objects, installations, paintings, and graphics.",восточное искусство
Tretyakov Gallery,Времена года Василия Поленова,13 ноября 2024 — 6 апреля 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/vasiliy-polenov-vremena-goda/,"Василий Поленов - выдающийся русский художник второй половины XIX-начала XX века, представленный на выставке его пейзажные работы из фондов и частных собраний Государственной Третьяковской галереи.",восточное искусство
Tretyakov Gallery,Романтичный классицист Петр Басин. 1793–1877,30 ноября 2024 — 6 апреля 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/romantichnyy-klassitsist-petr-basin-1793-1877/,"The exhibition presents the first personal show of P.V. Basyn's works, showcasing his talent as a historical painter and creator of numerous artworks for churches. The display features a range of genres, including portraits, landscapes, and scenes, demonstrating Basyn's mastery of drawing and painting techniques, observation, and artistic taste.",восточное искусство
Tretyakov Gallery,Передвижники,30 октября 2024 — 6 апреля 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/peredvizhniki-/,"В выставке ""Передвижники: Творческая деятельность художников второй половины XIX века"" представлены наиболее значительные произведения ведущих мастеров русского реализма, включая Васнецова, Крамского, Репина и других, которые составили ядро Товарищества передвижных художественных выставок.",национальное российское искусство
Tretyakov Gallery,Третьяковка в Самаре: выставка «В круге цвета. Красный»,11 декабря 2024 — 30 марта 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/tretyakovka-v-samare-vystavka-v-kruge-tsveta-krasnyy/,"The essence of the exhibition is:

The exhibition ""In the Circle of Color. Red"" at the Tretyakov Gallery in Samara explores the significance of red color in Russian art from XV-XVIII centuries to avant-garde and abstract art of XX century, highlighting its emotional impact and symbolic meaning.",национальное российское искусство
Tretyakov Gallery,Наталья Нестерова. Истории и Ребусы,25 декабря 2024 — 23 марта 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/natalya-nesterova-istoriya-i-rebusy/,"The State Tretyakov Gallery presents an exhibition dedicated to the works of Natalia Nesterova, a prominent Russian artist of the second half of the 20th century. The exhibition features a wide range of her paintings, including polyptychs and triptychs, showcasing her unique style that combines elements of expressionism, primitivism, and surrealism.",национальное российское искусство
Tretyakov Gallery,Сергей Конёнков. Мой век. К 150-летнему юбилею скульптора,12 ноября 2024 — 9 марта 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/sergey-konenkov-moy-vek-k-150-letnemu-yubileyu-skulptora-/,"The exhibition is dedicated to the works of Sergey Konenkov, a renowned Russian sculptor, pedagogue, and theorist of art, celebrating his 100th anniversary. The show features over 38 sculptures, including rare works from the museum's collections, showcasing Konenkov's diverse style that spans various artistic movements from Silver Age to Social Realism.",национальное российское искусство
Tretyakov Gallery,Адепты красного. Малявин&Архипов,20 сентября 2024 — 23 февраля 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/adepty-krasnogo-malyavin-i-arkhipov/,"Суть выставки: Третьяковская галерея представляет совместный проект, посвященный юбилейным датам Филиппа Малявина и Абрама Архипова, с целью сравнить их творческие методы в изображении русской крестьянки.",национальное российское искусство
Tretyakov Gallery,Алексей Моргунов. Среди первых,12 сентября 2024 — 26 января 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/aleksey-morgunov/,"Суть выставки: Третьяковская галерея представляет первый персональный проект Алексея Моргунова, знакомящий с его творчеством как одного из лидеров русского авангарда.",национальное российское искусство
Tretyakov Gallery,Юрий Ларин. Живопись предельного состояния,11 октября 2024 — 19 января 2025,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/yuriy-larin-zhivopis-predelnogo-sostoyaniya/,"В выставке представлены живописные и акварельные работы Юрия Ларина, созданные в период с 1970-х до 2010-х годов, которые демонстрируют концепцию предельного состояния художника.",национальное российское искусство
Tretyakov Gallery,Русская душа. Избранные произведения живописи из Государственной Третьяковской галереи и цифровые полотна о культурном наследии Суздаля,25 сентября 2024 — 3 декабря 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/russkaya-dusha-izbrannye-proizvedeniya-zhivopisi-iz-gosudarstvennoy-tretyakovskoy-galerei-i-tsifrovy/,"The exhibition presents a collection of Russian paintings from the 16th to early 21st centuries, featuring works by renowned artists such as Aivazovsky, Shishkin, and Kuindji. The show also includes digital artworks by VK company and Vladimir-Suzdal Museum-Reserve, highlighting the intersection of medieval culture and modern art.",национальное российское искусство
Tretyakov Gallery,История российского дизайна. Национальные традиции и современность,1 ноября 2022 — 24 ноября 2024,2022,transition_2022,https://www.tretyakovgallery.ru/exhibitions/o/istoriya-rossiyskogo-dizayna-natsionalnye-traditsii-i-sovremennost/,"The Moscow Museum of Design presents an updated exhibition ""History of Russian Design: National Traditions and Modernity"" exploring the past and present of Russian design, with over 450 exhibits from four sections: avant-garde, Stalinist ampire, 1960-1980s, and modern design.",национальное российское искусство
Tretyakov Gallery,"Александр Иванов – рисовальщик, вдохновленный классикой",31 мая 2024 — 17 ноября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-ivanov-risovalshchik-vdokhnovlennyy-klassikoy/,"Суть выставки: экспозиция ""Александр Иванов - рисовальщик, вдохновленный классикой"" представляет первый период карьеры Александра Иванова в Италии, когда он был вдохновлен античной скульптурой и классической традицией.",национальное российское искусство
Tretyakov Gallery,От мала до велика. Рисунки экстраординарных размеров из фондов графики XVIII – начала XX века,20 июня 2024 — 17 ноября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/ot-mala-do-velika-risunki-ekstraordinarnykh-razmerov-iz-fondov-grafiki-xviii-nachala-xx-veka/,"Суть выставки: представлены необычные по размерам графические произведения из собрания Третьяковской галереи, демонстрирующие различные направления в искусстве.",западное искусство
Tretyakov Gallery,Интерактивная выставка «Порт приписки – Дальний Восток»,16 августа 2024 — 10 ноября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/interaktivnaya-vystavka-port-pripiski-dalniy-vostok/,"The exhibition ""Port of Assignment - Far East"" presents the artistic exploration of the Far Eastern region, tracing its cultural and artistic development from the 17th-18th centuries to the present day. The project highlights the importance of maritime communication in this region's history and features works by Russian artists that reflect the region's cultural and geographical features.",восточное искусство
Tretyakov Gallery,Природа предмета. Современный дизайн и традиции,2 июля 2024 — 4 ноября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/priroda-predmeta-sovremennyy-dizayn-i-traditsii-/,"The exhibition presents a collection of modern Russian design, featuring works by various authors and artists, including sculptures, vases, mirrors, and textiles that reflect traditional Russian styles and themes. The event showcases innovative and creative interpretations of Russian culture and aesthetic sensibilities.",восточное искусство
Tretyakov Gallery,На вкус и цвет. Образы еды в русском искусстве,30 мая 2024 — 3 ноября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/na-vkus-i-tsvet-obrazy-edy-v-russkom-iskusstve/,"The exhibition explores the theme of food in Russian art from the 19th century to the present day, featuring over 80 works from the State Tretyakov Gallery's collection and private collections, including masterpieces by Perov, Serednikova, Kustodiev, and others.",национальное российское искусство
Tretyakov Gallery,К 100-летию Виктора Ивановича Иванова,23 июля 2024 — 20 октября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/k-100-letiyu-viktora-ivanovicha-ivanova/,"The exhibition celebrates the 100th birthday of Victor Ivanov, a renowned artist and public figure, with a display of his works showcasing his style and themes. The show features paintings and etchings that reflect Ivanov's connection to nature and his fascination with everyday life and human experiences.",национальное российское искусство
Tretyakov Gallery,"Стена и Слово. Русский монастырь на границе с небом. Эдуард Бояков, Михаил Розанов",18 июня 2024 — 29 сентября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/stena-i-slovo-russkiy-monastyr-na-granitse-s-nebom/,"Суть выставки: Русский монастырь как духовный и антропологический рубеж между небом и землей, между Святой Русью и материализмом.",национальное российское искусство
Tretyakov Gallery,Глобальная биеннале графического дизайна «Золотая пчела 16»,6 сентября 2024 — 25 сентября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/globalnaya-biennale-graficheskogo-dizayna-zolotaya-pchela-16/,"The Moscow International Biennale of Graphic Design ""Golden Bee"" presents the best graphic design examples from around the world at the State Tretyakov Gallery's New Wing, featuring works by renowned designers and exploring global humanitarian issues. The biennale aims to collect contemporary achievements, showcase cultural changes, and influence their development.",западное искусство
Tretyakov Gallery,"«За личными, семейными событиями я признаю общечеловеческий интерес...». Графика Владимира Конашевича",26 марта 2024 — 15 сентября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/za-lichnymi-semeynymi-sobytiyami-ya-priznayu-obshchechelovecheskiy-interes-br-grafika-vladimira-kona/,"В выставке представлены более 30 графических работ Владимира Конашевича, знакомящие зрителя с его творчеством ХХ века. Экспозиция включает в себя станковые работы, натюрморты, пейзажи и портреты, отражающие важные эпизоды его биографии.",национальное российское искусство
Tretyakov Gallery,На уровне моря,7 августа 2024 — 7 сентября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/na-urovne-morya/,"Суть выставки: проект ""На уровне моря"" объединяет работы московских и владивостокских художников, обращающихся к теме моря как метафизическому символу с множеством интерпретаций.",восточное искусство
Tretyakov Gallery,«Великолепные очевидцы»: Время и люди. 1910–30-е,28 февраля 2024 — 1 сентября 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/velikolepnye-ochevidtsy-vremya-i-lyudi-1910-e-1930-e/,"Суть выставки: экспозиция графикой 1910-1930-х годов, изображающая творческие и жизненные пути деятелей культуры, включая портреты и автопортреты знаменитых художников, писателей и поэтов.",национальное российское искусство
Tretyakov Gallery,Москва – Ереван – Москва. Музей русского искусства. Коллекция А.Я. Абрамяна,5 июня 2024 — 11 августа 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/moskva-erevan-moskva-k-125-letiyu-so-dnya-rozhdeniya-a-ya-abramyana/,"Вывод:

Выставка представляет собой первый широкий показ произведений профессора А.Я. Абрамяна, ранее принадлежавших ему и ныне находящихся в фондах Музея русского искусства в Ереване и столичном частном собрании.",национальное российское искусство
Tretyakov Gallery,Не только Третьяковы,13 апреля 2024 — 4 августа 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/ne-tolko-tretyakovy/,"В выставке ""Не только Третьяковы"" экспонируются произведения искусства, собранные частными коллекционерами и позднее переданные обществу, а также рассказывается о роли этих коллекционеров в развитии изобразительного искусства и музейного дела.",национальное российское искусство
Tretyakov Gallery,Николай Ульянов. Искусство без манифеста,20 марта 2024 — 21 июля 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/nikolay-ulyanov-iskusstvo-bez-manifesta/,"The Tretiakov Gallery presents an exhibition dedicated to the 150th anniversary of Nikolai Ulyanov's birth, a painter, graphic artist, and playwright who was a student of V.A. Serov and a talented teacher. The exhibition showcases his works from various periods, including portraits, cafe scenes, and theatrical designs.",национальное российское искусство
Tretyakov Gallery,Юрий Злотников. Сигнальная система,26 марта 2024 — 14 июля 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/yuriy-zlotnikov-signalnaya-sistema/,"The exhibition presents the works of Yuri Zlotnikov, a pioneer of post-war non-objective art in Russia, showcasing his ""Signal System"" series (1957-1962) and exploring his artistic practice that combines performance, mathematics, cybernetics, and psychology.",национальное российское искусство
Tretyakov Gallery,Герои и современники Серебряного века,24 ноября 2023 — 9 июня 2024,2023,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/geroi-i-sovremenniki-serebryanogo-veka-/,"Суть выставки: экспозиция Третьяковской галереи посвящена началу ХХ века, периоду сложного поиска новых стиля и направлений в русском искусстве.",западное искусство
Tretyakov Gallery,Русская и грузинская средневековая живопись в наследии А.Н. Овчинникова,21 декабря 2023 — 9 июня 2024,2023,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/russkaya-i-gruzinskaya-srednevekovaya-zhivopis-v-nasledii-a-n-ovchinnikova/,"В выставке представлены копии русских и грузинских средневековых фресок и икон, созданные Адольфом Николаевичем Овчинниковым, заслуженным деятелем искусств и художником-реставратором. Выставка посвящена наследию Овчинникова и его работе над восстановлением и изучением древних памятников.",национальное российское искусство
Tretyakov Gallery,Александр Константинов. От линии до архитектуры,6 февраля 2024 — 26 мая 2024,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-konstantinov-ot-linii-k-arkhitekture/,"Суть выставки: Третьяковская галерея представляет ретроспективную выставку Александра Константинова, выдающегося художника, графика и архитектора, известного по работе с масштабными инсталляциями.",национальное российское искусство
Tretyakov Gallery,Дети Великой Отечественной,21 ноября 2023 — 26 мая 2024,2023,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/deti-velikoy-otechestvennoy/,"Суть выставки: экспозиция в честь Всемирного дня ребенка, посвященная детям войны, представляющая живописные, скульптурные и графические произведения отечественных художников XX века.",национальное российское искусство
Tretyakov Gallery,Что такое дизайн?,11 октября 2023 — 26 мая 2024,2023,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/chto-takoe-dizayn/,"Вывод:

Выставка ""Что такое дизайн?"" - просветительский проект для юной аудитории, предназначенный чтобы прояснить профессию дизайнера и его многообразие направлений.",западное искусство
