museum,place,title,date_range,year,period,url,description,category
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,29.03.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/513,"Номинанты премии «Инновация-2013» на двух площадках в Государственном центре современного искусства и в ЦУМе, Джессика Лэнг и «Портфолио» Дианы Арбус в Мультимедиа Арт Музее и Маркус Люперц в Эрмитаже — все самое интересное на выставках этой недели",западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,04.04.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/523,"Рисунки о рисунках в Русском музее, японская бронза эпохи Мейдзи в Историческом музее, американский фотограф Минккинен и арт-группа ЕлиКука в рамках Х Фотобиеннале — все самое интересное на выставках этой недели",западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,14.02.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/432,"Параджанов в галерее на Солянке, прибалтийские фотографии в Центре братьев Люмьер, актуальное искусство на потолках в Музее Москвы и знаменитые российские коллекционеры в Гараже – все самые лучшие выставки этой недели",западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,28.04.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/567,"Коллекция четы Беккерман в Пушкинском музее, немецкое современное искусство в Московском музее современного искусства, Ленин и Сталин в Историческом музее и Люперц в Эрмитаже — все самое интересное на выставках этой недели",западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,05.06.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/633,"Ретроспектива мирискусника Александра Головина в Третьяковской галерее, выставка к 700-летию Сергия Радонежского в ГИМ, эволюция животного мира в версии художников в Дарвиновском музее и бумага как материал скульптуры, представленная в Русском музее",национальное российское искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,20.06.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/652,Шедевры итальянского Возрождения из Академии Каррара в ГМИИ им,западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки недели,28.06.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/668,Шедевры фламандской живописи в ГМИИ им,западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,07.07.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/677,"Джеймс Бонд в Мультимедиа Арт Музее, ученик Филонова и Малевича в Галеев-галерее, две выставки молодых российских художников в Московском музее современного искусства, ливрейное платье русского двора в Эрмитаже",национальное российское искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки недели,23.07.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/695,Бельгийский скульптор Вим Дельвуа в ГМИИ им,западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки недели,31.07.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/705,"Выставка к 100-летию Первой мировой войны в Мультимедиа Арт Музее, гравюры Уильяма Хогарта в ГМИИ им",западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,18.04.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/549,"Русский авангард в интерпретации Питера Гринуэя в Манеже, Рерих в Русском музее, индийские ювелирные украшения в Музеях Кремля и подготовка к полету в ММСИ-ММОМА — все самое интересное на выставках этой недели",восточное искусство
The Art Newspaper Russia,Выставки,Выставка Плавинского в Пушкинском музее не открылась в срок,21.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2224,"Выставка «Книга трав» Дмитрия Плавинского, посвященная серии его рисунков и монотипий 1963 года, не открылась в Государственном музее изобразительных искусств им",западное искусство
The Art Newspaper Russia,Выставки,«Вот». Выставка Эрика Булатова в Лондоне,21.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2223,"Это вторая выставка художника, открывшаяся спустя более чем 25 лет после дебюта, состоявшегося в 1989 году в Лондоне в Институте современного искусства",западное искусство
The Art Newspaper Russia,Выставки,Три выставки недели,16.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2207,"Историко-художественная экспозиция, посвященная Борису Годунову, в Московском Кремле, ретроспектива классика русского пейзажа Николая Ромадина в Русском музее в Санкт-Петербурге, юбилейная выставка выпускников московского Училища памяти 1905 года на ВДНХ",национальное российское искусство
The Art Newspaper Russia,Выставки,"Балет глазами живописцев, графиков, скульпторов, ювелиров, фотографов",03.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2168,Выставка «Истории русского балета» пройдет с 8 октября по 8 ноября в московском Музее декоративно-прикладного и народного искусства,национальное российское искусство
The Art Newspaper Russia,Выставки,«Русская хрестоматия»,30.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2282,"Волго-Вятский филиал Государственного центра современного искусства, Арсенал, Кремль, Нижний Новгород30 сентября — 29 ноября 2015 года «Русская хрестоматия» — выставка, представляющая современное прочтение классических произведений русской литературы",национальное российское искусство
The Art Newspaper Russia,Выставки,Поехали!,17.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2089,"Пять лет подготовки, уговоры российских космических предприятий, титанический труд нескольких сотен людей, получение дополнительных гарантий защиты экспонатов — все для того, чтобы в Музее науки в Лондоне смогла состояться выставка «Космонавты",национальное российское искусство
The Art Newspaper Russia,Выставки,Два полюса «Надежды»,24.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2121,Художники исследуют феномен российских индустриальных городов,национальное российское искусство
The Art Newspaper Russia,Выставки,С выставки Михаль Ровнер гости сместились в «Турандот»,18.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2095,"Вчера, 17 сентября, в Мультимедиа Арт Музее прошло сразу два вернисажа — выставок «Смещения» израильской видеохудожницы Михаль Ровнер и «Будущее, влюбленное в прошлое» Павла Пепперштейна",восточное искусство
The Art Newspaper Russia,Выставки,Париж с Алексеем Тархановым: комментаторы отправились в вагину,16.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2087,Художественная осень в Версале вышла неприятно жаркой,западное искусство
The Art Newspaper Russia,Выставки,Реализм за рулем,21.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2225,«Россия в пути (1920–1990)» — одна из трех выставок осеннего сезона в выставочном дворце Палаццо делле Эспозициони в Риме,национальное российское искусство
The Art Newspaper Russia,Выставки,Париж с Алексеем Тархановым: семейные портреты в интерьере,25.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2133,"Представьте себе частный дом, который вдруг пускается в путешествие по разным странам, гостит в других домах, принимая их форму, но наполняя их своими цветами, историей и вкусами своей семьи",западное искусство
The Art Newspaper Russia,Выставки,Три выставки недели,23.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2233,"Шедевры из собрания Соломона Шустера в московской галерее «Наши художники», экопроект турецкой художницы Пинар Йолдаш на ВДНХ, светский лубок XVIII — начала ХХ века в Русском музее",национальное российское искусство
The Art Newspaper Russia,Выставки,Приглашения,06.11.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2321,"Живописец Алексей Парфенов и скульптор Наталья Опиок в художественном проекте «Единство мира» декларируют новое направление — «энергетизм», а Егор и Кристина Альтман открывают первую в России галерею тиражной графики — от Пабло Пикассо и Марка Шагала до Сальвадора Дали и Энди Уорхола",западное искусство
The Art Newspaper Russia,Выставки,Выставка Семена Файбисовича в Новом Манеже отменена,28.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2265,"Выставка Семена Файбисовича «Москва моя», которая должна была пройти в Новом Манеже с 10 ноября по 6 декабря, отменена",национальное российское искусство
The Art Newspaper Russia,Выставки,Париж с Алексеем Тархановым: Фрагонары ходят парой,30.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2263,"В музее в Люксембургском саду открыта выставка «Влюбленный Фрагонар», которая завлекает публику подзаголовком «Галантный распутник»",западное искусство
The Art Newspaper Russia,Выставки,Три выставки недели,30.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2275,"Графика Малевича и его круга в Третьяковской галерее, впервые воссоединившийся триптих Николая Рериха в Музее Востока, масштабные проекты Павла Пепперштейна и группы AES+F в Мультимедиа Арт Музее",восточное искусство
The Art Newspaper Russia,Выставки,Выставка Валентина Серова в Третьяковке бьет рекорды по посещаемости,02.11.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2291,Выставку «Валентин Серов» в Государственной Третьяковской галерее за три недели работы увидели больше 80 тыс,национальное российское искусство
The Art Newspaper Russia,Выставки,Соцреализм с новым акцентом. Большой стиль большой эпохи,02.11.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2292,4 ноября в Манеже откроется масштабный выставочный проект «Романтический реализм. Советская живопись 1925–1945 гг.»,западное искусство
The Art Newspaper Russia,Выставки,Три выставки недели,06.11.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2317,"Живопись соцреализма в Манеже, традиционная японская керамика раку в ГМИИ им. А.С.Пушкина, авторский проект чешского художника Иржи Давида в Московском музее современного искусства",восточное искусство
The Art Newspaper Russia,Выставки,"Караваджисты, все как один",11.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2059,На выставке «Караваджо и последователи» в ГМИИ им. А. С. Пушкина впервые в России покажут картины последователей великого ломбардского мастера из коллекции Роберто Лонги в диалоге с работами из собрания музея,западное искусство
The Art Newspaper Russia,Выставки,Три выставки недели,13.11.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2352,"Метаморфозы реализма XXI века в Русском музее, городские пейзажи Никиты Макарова в усадьбе Муравьевых-Апостолов, персональная выставка Димитрия Семакова в Московском музее современного искусства",национальное российское искусство
The Art Newspaper Russia,Выставки,Париж с Алексеем Тархановым: большие платья великих королев,24.11.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2391,Парижский пригород Сен-Дени только что нашумел в криминальной хронике,западное искусство
The Art Newspaper Russia,Выставки,Петров-Водкин попал в переплет вместе с последователями и учениками,10.12.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2459,"В «Галеев-галерее» 10 декабря открылась выставка «Школа Кузьмы Петрова-Водкина», посвященная педагогической деятельности художника",национальное российское искусство
The Art Newspaper Russia,Выставки,Три выставки недели,11.12.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2468,"Панорама русского театрально-декорационного искусства конца XIX — начала ХХ века в Театральном музее им. Бахрушина, детский писатель Михаил Пришвин впервые как фотограф в Мультимедиа Арт Музее, анималистика Анатолия Зверева в московском Музее АЗ",национальное российское искусство
The Art Newspaper Russia,Выставки,Париж с Алексеем Тархановым: блеск и нищета проституток,24.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2247,В Музее Орсе — выставка «Блеск и нищета»,восточное искусство
The Art Newspaper Russia,Выставки,"Роберто Лонги: искусствовед, вернувший нам Караваджо",11.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2056,"Искусствовед, эксперт с редким глазом и интуицией, вернувший из небытия не одно имя в итальянском искусстве XIV–XVII веков. Фигура Роберто Лонги и сегодня вызывает споры, а выставки произведений из коллекции Фонда Лонги становятся бесспорным событием. Как и выставка караваджистов, которая открывается в ГМИИ им. А. С. Пушкина",западное искусство
The Art Newspaper Russia,Выставки,«Музей современного искусства: департамент труда и занятости»,08.10.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2283,"Екатеринбургский музей изобразительных искусств в рамках III Уральской индустриальной биеннале, Екатеринбург8 октября — 1 ноября 2015 года Проект «Музей современного искусства: департамент труда и занятости» был представлен в Государственной Третьяковской галерее в 2013 году",западное искусство
The Art Newspaper Russia,Роскошь,Брошь в искусстве: выставка «Art of Сlip» Van Cleef & Arpel,09.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2052,Из всех украшений брошь самая красноречивая,западное искусство
The Art Newspaper Russia,Выставки,Столичные антиквары двигаются в провинцию,09.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2054,"Московская галерея «Альбион» и галерея «Виктория» в Самаре устраивают выставку работ Арнольда Лаховского, ученика Ильи Репина",западное искусство
The Art Newspaper Russia,Выставки,Поленовская сказка,12.01.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1163,"Британская галерея Уоттс в Гилфорде в год 170-летия Василия Поленова обратила внимание на не столь известного, но не менее замечательного русского художника — младшую сестру живописца Елену Поленову (1850–1898)",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,16.01.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1170,"Юбилей журнала «Огонек» в фотографиях и персональная выставка художника-нонконформиста Владимира Яковлева в Мультимедиа Арт Музее, старинные русские карты XVI — начала XX века в Музеях Московского Кремля",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,25.01.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1192,"Коллекция русского стекла на выставке в Историческом музее, возрожденные после реставрации шедевры Эрмитажа, забытые имена первопроходцев-экспериментаторов 1920-х в области звука на «Винзаводе»",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,30.01.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1213,"Две выставки, одна из которых исследует взаимодействие звука и изображения, а вторая представляет известного итало-швейцарского художника, в Центре творческих индустрий (ЦТИ) «Фабрика» и все о советском детстве в Музее Москвы",западное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,06.02.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1246,"Выставка к 100-летию живописца и иллюстратора Ювеналия Коровина в Третьяковской галерее, там же работы известного бурятского художника Зорикто Доржиева, и Франц Кафка, вдохновивший не одно поколение русских художников XX–XXI веков, в Государственном музее А",западное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,20.02.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1314,"Парижский русский художник Николай Тархов в московской галерее «Наши художники», советский дизайн в Музее архитектуры им",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,27.02.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1342,"Крупнейшая ретроспектива Павла Федотова в Третьяковской галерее, «Бумажная архитектура» от ее классиков до современности в ГМИИ им",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,06.03.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1372,"Царские забавы XVIII века — в Царицыне; о том, каким был император Павел I в детстве и юношестве, — в Русском музее; парижский период патриарха нонконформизма Оскара Рабина в петербургском музее «Эрарта»",западное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,13.03.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1401,"Первый большой показ отечественного гиперреализма в Третьяковской галерее, ретроспектива известного московского концептуалиста Андрея Филиппова в фонде «Екатерина», юбилейная выставка Валентина Серова в Русском музее",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,27.03.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1462,"Выставка «Современники будущего» в Еврейском музее, художники как рассказчики в Русском музее, первые имена фешен-фотографии за 100 лет в Мультимедиа Арт Музее",восточное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,03.04.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1495,Первая ретроспектива мастера венгерской реалистической школы Михая Мункачи в ГМИИ им,восточное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,10.04.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1520,"Выставка патриарха современного русского пейзажа Николая Касаткина в Третьяковской галерее, пасхальные яйца, их история и традиции в Историческом музее, современные наследники супрематизма Казимира Малевича в Музее архитектуры",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,13.02.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1282,"Восточноевропейские художники в Музее современного искусства «Гараж», ретроспектива Робера Дуано в Мультимедиа Арт Музее, юбилейная выставка, посвященная Святославу Рихтера в ГМИИ им",восточное искусство
The Art Newspaper Russia,Выставки,Коллекция Газпромбанка: о магии цифр и не только,08.06.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1747,Корпоративное собрание банка на выставке в ГЦСИ,национальное российское искусство
The Art Newspaper Russia,Выставки,Сны во сне и наяву,02.09.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/2017,"Выставка Павла Кузнецова (1878–1968), которая открывается 4 сентября в Государственной Третьяковской галерее, включает в себя более 200 произведений",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,24.04.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1569,"Ретроспектива одной из самых заметных фигур в русском авангарде — Георгия Якулова — и проект классиков современного искусства Игоря Макаревича и Елены Елагиной в Третьяковской галерее, отечественные иллюстраторы детских книг в ГМИИ им",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,14.08.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1968,"В пандан к выставке «Керамика Раку», привезенной из Японии, Государственный Эрмитаж открыл свою выставку — «Сосуд вечной радости», состоящую из 116 редких, тоже японских изделий из собственной коллекции музея",восточное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,07.08.2015,2015,pre_2022,https://www.theartnewspaper.ru/posts/1951,"Евгений Чубаров в Галерее Гари Татинцяна, произведения современных художников на тему города и его обитателей в Государственном центре современного искусства, советская скульптура 1920–1930-х из запасников Третьяковской галереи",западное искусство
